,price_steel,price_rebar,price_glass,price_concrete,price_plywood
2007-01-01,,,,,
2007-01-03,,,,,
2007-01-04,,,,,
2007-01-05,,,,,
2007-01-08,,,,,
2007-01-09,,,,,
2007-01-10,,,,,
2007-01-11,,,,,
2007-01-12,,,,,
2007-01-16,,,,,
2007-01-17,,,,,
2007-01-18,,,,,
2007-01-19,,,,,
2007-01-22,,,,,
2007-01-23,,,,,
2007-01-24,,,,,
2007-01-25,,,,,
2007-01-26,,,,,
2007-01-29,,,,,
2007-01-30,,,,,
2007-01-31,,,,,
2007-02-01,,,,,
2007-02-02,,,,,
2007-02-05,,,,,
2007-02-06,,,,,
2007-02-07,,,,,
2007-02-08,,,,,
2007-02-09,,,,,
2007-02-12,,,,,
2007-02-13,,,,,
2007-02-14,,,,,
2007-02-15,,,,,
2007-02-16,,,,,
2007-02-20,,,,,
2007-02-21,,,,,
2007-02-22,,,,,
2007-02-23,,,,,
2007-02-26,,,,,
2007-02-27,,,,,
2007-02-28,,,,,
2007-03-01,,,,,
2007-03-02,,,,,
2007-03-05,,,,,
2007-03-06,,,,,
2007-03-07,,,,,
2007-03-08,,,,,
2007-03-09,,,,,
2007-03-12,,,,,
2007-03-13,,,,,
2007-03-14,,,,,
2007-03-15,,,,,
2007-03-16,,,,,
2007-03-19,,,,,
2007-03-20,,,,,
2007-03-21,,,,,
2007-03-22,,,,,
2007-03-23,,,,,
2007-03-26,,,,,
2007-03-27,,,,,
2007-03-28,,,,,
2007-03-29,,,,,
2007-03-30,,,,,
2007-04-01,,,,,
2007-04-02,,,,,
2007-04-03,,,,,
2007-04-04,,,,,
2007-04-05,,,,,
2007-04-09,,,,,
2007-04-10,,,,,
2007-04-11,,,,,
2007-04-12,,,,,
2007-04-13,,,,,
2007-04-16,,,,,
2007-04-17,,,,,
2007-04-18,,,,,
2007-04-19,,,,,
2007-04-20,,,,,
2007-04-23,,,,,
2007-04-24,,,,,
2007-04-25,,,,,
2007-04-26,,,,,
2007-04-27,,,,,
2007-04-30,,,,,
2007-05-01,,,,,
2007-05-02,,,,,
2007-05-03,,,,,
2007-05-04,,,,,
2007-05-07,,,,,
2007-05-08,,,,,
2007-05-09,,,,,
2007-05-10,,,,,
2007-05-11,,,,,
2007-05-14,,,,,
2007-05-15,,,,,
2007-05-16,,,,,
2007-05-17,,,,,
2007-05-18,,,,,
2007-05-21,,,,,
2007-05-22,,,,,
2007-05-23,,,,,
2007-05-24,,,,,
2007-05-25,,,,,
2007-05-29,,,,,
2007-05-30,,,,,
2007-05-31,,,,,
2007-06-01,,,22.0,29.03333333333333,8.875
2007-06-04,,,22.0,29.88888888888889,10.833333333333336
2007-06-05,,,22.0,29.2,11.166666666666664
2007-06-06,,,22.0,29.2,9.75
2007-06-07,,,22.0,28.363636363636363,10.0
2007-06-08,,,22.0,21.0,11.75
2007-06-11,,,22.0,25.85,11.75
2007-06-12,,,22.0,24.04166666666667,11.75
2007-06-13,,,22.0,24.04166666666667,11.333333333333336
2007-06-14,,,22.0,22.03333333333333,9.166666666666666
2007-06-15,,,22.0,19.86111111111111,9.333333333333334
2007-06-18,,,22.0,20.944444444444443,10.75
2007-06-19,,,26.0,20.944444444444443,9.0
2007-06-20,,,26.0,20.83333333333333,7.9
2007-06-21,,,26.0,16.736842105263158,7.75
2007-06-22,,,28.0,16.736842105263158,7.75
2007-06-25,,,28.0,15.05,9.0
2007-06-26,,,28.0,17.225,9.0
2007-06-27,,,28.0,17.833333333333332,8.5
2007-06-28,,,28.0,20.222222222222214,8.333333333333334
2007-06-29,,,28.0,18.545454545454547,7.0
2007-07-01,,,,,
2007-07-02,,,28.0,22.15,11.0
2007-07-03,,,28.0,21.54166666666667,10.25
2007-07-05,,,28.0,,
2007-07-06,,,28.0,18.76923076923077,9.2
2007-07-09,,,28.0,21.53333333333333,9.6
2007-07-10,,,28.0,21.53333333333333,9.4
2007-07-11,,,28.0,19.5,9.125
2007-07-12,,,28.0,19.315789473684205,8.875
2007-07-13,,,28.0,18.21052631578948,8.15
2007-07-16,,,28.0,19.777777777777786,8.0
2007-07-17,,,28.0,20.23076923076923,9.0
2007-07-18,,,28.0,21.2,9.875
